,PC6,bus_count,metro_count,tram_count,parking_count,traffic_area,built_up_area,semi_built_up_area,recreational_area,agrarian_area,forest_nature_are,water_body_area,December 2022_EV,December 2022_hybrid,2022_0_to_10,2022_10_to_20,2022_20_to_30,2022_30_to_40,2022_40_to_50,2019.0_household,2019.0_income_1_to_40_percent,2019.0_income_41_to_80_percent,2019.0_income_81_to_100_percent,2019.0_income_average,2019.0_assets_1_to_40_percent,2019.0_assets_41_to_80_percent,2019.0_assets_81_to_100_percent,2019.0_assets_average,2019.0_Gemiddelde SES WOA totaalscore
0,1011AB,0.0,0.0,0.0,0.0,5.5393,5.3554,1.4589,0.0,0.0,0.0,11.9398,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
1,1011AC,0.0,0.0,1.0,0.0,5.5393,5.3554,1.4589,0.0,0.0,0.0,11.9398,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
2,1011AG,0.0,0.0,0.0,0.0,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
3,1011AH,0.0,0.0,0.0,0.0,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
4,1011AJ,0.0,0.0,0.0,0.0,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
5,1011AM,0.0,0.0,0.0,0.0,1.9677,3.3855,0.0,0.0,0.0,0.0,5.4374,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
6,1011AN,0.0,0.0,0.0,0.0,1.9677,3.3855,0.0,0.0,0.0,0.0,5.4374,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
7,1011AP,0.0,0.0,0.0,0.0,1.9677,3.3855,0.0,0.0,0.0,0.0,5.4374,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
8,1011AR,0.0,0.0,0.0,0.0,1.9677,3.3855,0.0,0.0,0.0,0.0,5.4374,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
9,1011AS,0.0,0.0,0.0,0.0,1.9677,3.3855,0.0,0.0,0.0,0.0,5.4374,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
10,1011AT,0.0,0.0,0.0,0.0,1.9677,3.3855,0.0,0.0,0.0,0.0,5.4374,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
11,1011AV,0.0,0.0,0.0,0.0,1.9677,3.3855,0.0,0.0,0.0,0.0,5.4374,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
12,1011AW,0.0,0.0,0.0,0.0,1.9677,3.3855,0.0,0.0,0.0,0.0,5.4374,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
13,1011AX,0.0,0.0,0.0,0.0,1.9677,3.3855,0.0,0.0,0.0,0.0,5.4374,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
14,1011AZ,0.0,0.0,0.0,0.0,1.9677,3.3855,0.0,0.0,0.0,0.0,5.4374,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
15,1011BA,0.0,0.0,0.0,0.0,1.9677,3.3855,0.0,0.0,0.0,0.0,5.4374,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
16,1011BB,0.0,0.0,0.0,0.0,1.9677,3.3855,0.0,0.0,0.0,0.0,5.4374,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
17,1011BC,0.0,0.0,0.0,0.0,1.9677,3.3855,0.0,0.0,0.0,0.0,5.4374,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
18,1011BD,0.0,0.0,0.0,0.0,1.9677,3.3855,0.0,0.0,0.0,0.0,5.4374,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
19,1011BG,0.0,0.0,0.0,0.0,1.9677,3.3855,0.0,0.0,0.0,0.0,5.4374,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
20,1011BH,0.0,0.0,0.0,0.0,1.9677,3.3855,0.0,0.0,0.0,0.0,5.4374,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
21,1011BJ,0.0,0.0,0.0,0.0,1.9677,3.3855,0.0,0.0,0.0,0.0,5.4374,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
22,1011BK,0.0,0.0,0.0,0.0,1.9677,3.3855,0.0,0.0,0.0,0.0,5.4374,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
23,1011BL,0.0,0.0,0.0,0.0,1.9677,3.3855,0.0,0.0,0.0,0.0,5.4374,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
24,1011BM,0.0,0.0,0.0,0.0,1.9677,3.3855,0.0,0.0,0.0,0.0,5.4374,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
25,1011BN,0.0,0.0,0.0,0.0,1.9677,3.3855,0.0,0.0,0.0,0.0,5.4374,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
26,1011BP,0.0,0.0,0.0,0.0,1.9677,3.3855,0.0,0.0,0.0,0.0,5.4374,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
27,1011BR,0.0,0.0,0.0,0.0,1.9677,3.3855,0.0,0.0,0.0,0.0,5.4374,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
28,1011BS,0.0,0.0,0.0,0.0,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
29,1011BT,0.0,0.0,0.0,0.0,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
30,1011BV,0.0,0.0,0.0,0.0,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
31,1011BW,0.0,0.0,0.0,0.0,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
32,1011BX,0.0,0.0,0.0,0.0,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
33,1011BZ,0.0,0.0,0.0,0.0,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
34,1011CA,0.0,0.0,0.0,0.0,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
35,1011CB,0.0,0.0,0.0,0.0,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
36,1011CC,0.0,0.0,0.0,0.0,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
37,1011CD,0.0,0.0,0.0,0.0,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
38,1011CE,0.0,0.0,0.0,0.0,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
39,1011CH,0.0,0.0,0.0,0.0,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
40,1011CJ,0.0,0.0,0.0,0.0,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
41,1011CK,0.0,0.0,0.0,0.0,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
42,1011CL,0.0,0.0,0.0,0.0,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
43,1011CM,0.0,0.0,0.0,0.0,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
44,1011CN,0.0,0.0,0.0,0.0,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
45,1011CP,0.0,0.0,0.0,0.0,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
46,1011CR,0.0,0.0,0.0,0.0,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
47,1011CS,0.0,0.0,0.0,0.0,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
48,1011CT,0.0,0.0,0.0,0.0,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
49,1011CV,0.0,0.0,0.0,0.0,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
50,1011CW,0.0,0.0,0.0,0.0,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
51,1011CX,0.0,0.0,0.0,0.0,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
52,1011CZ,0.0,0.0,0.0,0.0,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
53,1011DB,0.0,0.0,0.0,0.0,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
54,1011DD,0.0,0.0,0.0,0.0,5.5393,5.3554,1.4589,0.0,0.0,0.0,11.9398,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
55,1011DG,0.0,0.0,0.0,0.0,5.5393,5.3554,1.4589,0.0,0.0,0.0,11.9398,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
56,1011DJ,0.0,0.0,0.0,0.0,5.5393,5.3554,1.4589,0.0,0.0,0.0,11.9398,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
57,1011DL,0.0,0.0,0.0,0.0,5.5393,5.3554,1.4589,0.0,0.0,0.0,11.9398,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
58,1011DZ,0.0,0.0,0.0,0.0,0.0,6.004,0.0,0.0,0.0,0.0,1.115,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
59,1011EA,0.0,0.0,0.0,0.0,0.0,6.004,0.0,0.0,0.0,0.0,1.115,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
60,1011EB,0.0,0.0,0.0,0.0,0.0,6.004,0.0,0.0,0.0,0.0,1.115,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
61,1011EC,0.0,0.0,0.0,0.0,0.0,6.004,0.0,0.0,0.0,0.0,1.115,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
62,1011ED,0.0,0.0,0.0,0.0,0.0,6.004,0.0,0.0,0.0,0.0,1.115,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
63,1011EE,0.0,0.0,0.0,0.0,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
64,1011EG,0.0,0.0,0.0,0.0,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
65,1011EH,0.0,0.0,0.0,0.0,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
66,1011EJ,0.0,0.0,0.0,0.0,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
67,1011EK,0.0,0.0,0.0,0.0,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
68,1011EL,0.0,0.0,0.0,0.0,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
69,1011EM,0.0,0.0,0.0,0.0,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
70,1011EN,0.0,0.0,0.0,0.0,0.0,6.004,0.0,0.0,0.0,0.0,1.115,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
71,1011ER,0.0,0.0,0.0,0.0,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
72,1011ES,0.0,0.0,0.0,0.0,0.0,6.004,0.0,0.0,0.0,0.0,1.115,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
73,1011ET,0.0,0.0,0.0,0.0,0.0,6.004,0.0,0.0,0.0,0.0,1.115,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
74,1011EV,0.0,0.0,0.0,0.0,0.0,6.004,0.0,0.0,0.0,0.0,1.115,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
75,1011EW,0.0,0.0,0.0,0.0,0.0,6.004,0.0,0.0,0.0,0.0,1.115,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
76,1011EX,0.0,0.0,0.0,0.0,0.0,6.004,0.0,0.0,0.0,0.0,1.115,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
77,1011EZ,0.0,0.0,0.0,0.0,0.0,6.004,0.0,0.0,0.0,0.0,1.115,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
78,1011GA,0.0,0.0,0.0,0.0,0.0,6.004,0.0,0.0,0.0,0.0,1.115,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
79,1011GB,0.0,0.0,0.0,0.0,0.0,6.004,0.0,0.0,0.0,0.0,1.115,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
80,1011GC,0.0,0.0,0.0,0.0,0.0,6.004,0.0,0.0,0.0,0.0,1.115,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
81,1011GD,0.0,0.0,0.0,0.0,0.0,6.004,0.0,0.0,0.0,0.0,1.115,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
82,1011GG,0.0,0.0,0.0,0.0,0.0,6.004,0.0,0.0,0.0,0.0,1.115,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
83,1011GH,0.0,0.0,0.0,0.0,0.0,6.004,0.0,0.0,0.0,0.0,1.115,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
84,1011GJ,0.0,0.0,0.0,0.0,0.0,6.004,0.0,0.0,0.0,0.0,1.115,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
85,1011GK,0.0,0.0,0.0,0.0,0.0,6.004,0.0,0.0,0.0,0.0,1.115,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
86,1011GL,0.0,0.0,0.0,0.0,0.0,6.004,0.0,0.0,0.0,0.0,1.115,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
87,1011GM,0.0,0.0,0.0,0.0,0.0,6.004,0.0,0.0,0.0,0.0,1.115,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
88,1011GN,0.0,0.0,0.0,0.0,0.0,6.004,0.0,0.0,0.0,0.0,1.115,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
89,1011GP,0.0,0.0,0.0,0.0,0.0,6.004,0.0,0.0,0.0,0.0,1.115,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
90,1011GR,0.0,0.0,0.0,0.0,0.0,6.004,0.0,0.0,0.0,0.0,1.115,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
91,1011GS,0.0,0.0,0.0,0.0,0.0,6.004,0.0,0.0,0.0,0.0,1.115,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
92,1011GT,0.0,0.0,0.0,0.0,0.0,6.004,0.0,0.0,0.0,0.0,1.115,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
93,1011GV,0.0,0.0,0.0,0.0,0.0,6.004,0.0,0.0,0.0,0.0,1.115,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
94,1011GW,0.0,0.0,0.0,0.0,0.0,6.004,0.0,0.0,0.0,0.0,1.115,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
95,1011GX,0.0,0.0,0.0,0.0,0.0,6.004,0.0,0.0,0.0,0.0,1.115,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
96,1011GZ,0.0,0.0,0.0,0.0,0.0,6.004,0.0,0.0,0.0,0.0,1.115,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
97,1011HB,0.0,0.0,0.0,0.0,0.0,6.4217,0.0,0.0,0.0,0.0,1.6890999999999998,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
98,1011HC,0.0,0.0,0.0,0.0,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
99,1011HD,0.0,0.0,0.0,0.0,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
100,1011HE,0.0,0.0,0.0,0.0,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
101,1011HG,0.0,0.0,0.0,0.0,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
102,1011HH,0.0,0.0,0.0,0.0,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
103,1011HJ,0.0,0.0,0.0,0.0,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
104,1011HK,0.0,0.0,0.0,0.0,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
105,1011HL,0.0,0.0,0.0,0.0,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
106,1011HP,0.0,0.0,0.0,0.0,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
107,1011HR,0.0,0.0,0.0,0.0,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
108,1011HS,0.0,0.0,0.0,0.0,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632,367.0,187.0,475.0,540.0,2065.0,1645.0,1080.0,6200.0,45.0,28.0,27.1,49.3,50.8,23.0,26.2,47.6,0.034
